applicationId,stageCount,taskCount,jobCount,duration,vCore,memory,totalShuffleReadBytes,totalShuffleByteWritten,executorDeserializeTime,executorDeserializeCpuTime,resultSerializeTime,memoryBytesSpill,diskBytesSpill,inputBytesRead,outputBytesWritten,jvmGcTime,peakExecutionMemory,Type,Memory Intensity,Parallel Level,Code Complexity
application_1731597926874_0034,9,309,6,93109,,2G,1620072,1620072,4923,4566550319,7,0,0,0,0,808,0,-1,1,1,1
application_1731597926874_0035,9,327,6,37459,,3G,2364060,2364060,10515,6730674268,55,0,0,0,0,2522,0,0,2,1,1
application_1731597926874_0036,9,339,6,29932,,3g,2597571,2597571,15354,7874157810,43,0,0,0,0,3366,0,1,1,1,1
application_1731597926874_0037,9,363,6,28328,,3g,2597625,2597625,23012,9142251142,113,0,0,0,0,6079,0,-1,1,2,1
application_1731597926874_0038,9,423,6,25986,,4G,2598039,2598039,44499,11711170643,276,0,0,0,0,9835,0,0,4,1,1
application_1731597926874_0039,9,609,6,159471,,2G,1889259,1889259,8063,7823083722,10,0,0,0,0,1225,0,1,2,1,1
application_1731597926874_0040,9,627,6,59408,,3G,2597979,2597979,14507,10114411952,34,0,0,0,0,3530,0,1,3,1,1
application_1731597926874_0041,9,648,6,44789,,3g,2598882,2598882,20231,11184931660,94,0,0,0,0,5745,0,1,4,3,2
application_1731597926874_0042,9,675,6,40483,,3g,2598999,2598999,29279,12968551158,170,0,0,0,0,9639,0,1,2,1,1
application_1731597926874_0043,9,723,6,33185,,4G,2598339,2598339,48228,15506929395,246,0,0,0,0,12062,0,1,1,1,1
application_1731597926874_0044,9,1509,6,371121,,2G,2598507,2598507,17927,17657105094,81,0,0,0,0,2748,33587200,-1,1,1,1
application_1731597926874_0045,9,1527,6,124953,,3G,2597550,2597550,24088,20344727092,50,0,0,0,0,6704,33587200,1,1,1,1
application_1731597926874_0046,9,1548,6,80818,,3g,2597196,2597196,29917,21726860470,108,0,0,0,0,10256,16809984,1,1,1,1
application_1731597926874_0047,9,1563,6,63702,,3g,2597658,2597658,39165,23676733425,284,0,0,0,0,15292,16809984,1,4,1,1
application_1731597926874_0048,9,1623,6,56150,,4G,2597586,2597586,59361,26068294506,252,0,0,0,0,23381,16809984,1,2,1,1
application_1731597926874_0049,9,1509,6,369773,,2G,2598510,2598510,17846,17087384279,50,0,0,0,0,2880,33587200,1,3,1,1
application_1731597926874_0050,9,1527,6,118735,,3G,2597505,2597505,24324,20195930711,112,0,0,0,0,6883,33587200,1,4,1,1
application_1731597926874_0051,9,1548,6,79667,,3g,2597865,2597865,31956,21901857481,88,0,0,0,0,10308,16809984,1,1,1,1
application_1731597926874_0052,9,1575,6,65691,,3g,2597181,2597181,42330,23512705504,150,0,0,0,0,15580,16809984,1,1,1,1
application_1731597926874_0053,9,1623,6,53815,,4G,2598009,2598009,61366,26781654819,235,0,0,0,0,24397,16809984,-1,1,1,1
application_1731597926874_0059,11,21,11,107251,,6G,157168165,465611252,2083,1498298820,6,0,0,0,0,1800,541065216,1,1,1,1
application_1731597926874_0060,11,61,11,98727,,8G,155614463,467373016,6330,2285811011,12,0,0,0,0,4065,541065216,1,4,1,1
application_1731597926874_0061,11,123,11,100335,,10G,122696430,470325496,14719,3244252286,60,0,0,0,0,7893,538574848,1,2,1,1
application_1731597926874_0062,11,163,11,99686,,12G,118861634,471754705,21925,3538985375,113,0,0,0,0,12329,538574848,1,2,1,1
application_1731597926874_0063,11,255,11,99105,,14G,110942135,476319769,34120,4612889186,144,0,0,0,0,18000,537722880,-1,3,1,1
application_1731597926874_0064,3,5,3,36025,,4G,46130268,92722977,1430,1067948796,4,0,0,0,0,597,272629760,1,4,1,1
application_1731597926874_0065,3,9,3,32378,,6G,23217998,92864541,2799,1247404093,9,0,0,0,0,1115,135790592,1,2,1,1
application_1731597926874_0066,3,13,3,33008,,8G,15366793,93061280,4665,1227350197,6,0,0,0,0,2456,135528448,1,1,1,1
application_1731597926874_0067,3,25,3,32904,,10G,7551583,93644980,8338,2025226384,17,0,0,0,0,3739,134807552,1,4,1,1
application_1731597926874_0068,3,41,3,33479,,12G,4325703,94455723,17879,2583475426,10,0,0,0,0,5407,134545408,1,2,1,1
application_1731597926874_0070,15,85,15,124176,,12G,253735338,655204070,8069,2573366922,8,0,0,0,0,5269,676331520,1,3,1,1
application_1731597926874_0071,15,173,15,119256,,12G,224558123,659579295,14629,3471857432,110,0,0,0,0,8518,673185792,1,1,1,1
application_1731597926874_0072,15,229,15,123284,,14G,220957339,661596345,30374,3798730197,216,0,0,0,0,14259,673185792,1,1,1,1
application_1731597926874_0073,15,358,15,120803,,16G,210755292,667961446,42497,4863281626,150,0,0,0,0,19043,672137216,1,4,1,1
application_1731597926874_0074,5,9,5,56079,,4G,63145497,185594412,1415,1077693109,4,0,0,0,0,794,272629760,1,2,1,1
application_1731597926874_0075,5,17,5,56478,,6G,46389516,185928634,4359,1257894326,13,0,0,0,0,2771,272629760,1,3,1,1
application_1731597926874_0076,5,25,5,56754,,8G,28278557,186302344,5316,1493352867,9,0,0,0,0,3026,270532608,1,4,1,1
application_1731597926874_0077,5,49,5,54212,,10G,14755596,187414663,9881,2266241985,17,0,0,0,0,4563,269484032,1,1,1,1
application_1731597926874_0078,5,81,5,53505,,12G,9318900,188594638,17516,2821658112,118,0,0,0,0,6952,269221888,1,2,1,1
application_1731597926874_0079,7,13,7,77654,,6G,63842294,278366522,1683,1183935529,5,0,0,0,0,1013,407896064,1,3,1,1
application_1731597926874_0080,7,37,7,76652,,8G,46015435,279408730,6572,1975402796,12,0,0,0,0,3576,405798912,1,1,1,1
application_1731597926874_0081,7,73,7,74744,,10G,20731463,281105601,12251,2983578743,19,0,0,0,0,4998,403963904,1,1,1,1
application_1731597926874_0082,7,97,7,76341,,12G,17496347,281834125,16511,2964332591,71,0,0,0,0,7453,403963904,1,4,1,1
application_1731597926874_0083,7,151,7,75395,,14G,11029041,284620334,25521,3803231983,143,0,0,0,0,8963,403308544,0,5,1,1